コード,名称,業種,市場
A,アジレント・テクノロジーズ (Agilent Technologies Inc),ヘルスケア,S&P500
AA,アルコア (Alcoa Corporation),素材,NYSE
AAL,アメリカン航空グループ (American Airlines Group),資本財,Nasdaq S&P500
AAN,アーロンズ (Aarons Inc),資本財,NYSE
AAOI,アプライド・オプトエレクトロニクス (Applied Optoelectronics Inc),情報技術,Nasdaq
AAON,エーエーオーエヌ (AAON Inc),素材,Nasdaq
AAP,アドバンス・オート・パーツ (Advance Auto Parts),一般消費財,S&P500
AAPL,アップル (Apple Inc.),情報技術,NYダウ Nasdaq S&P500
AAU,アルマデン・ミネラルズ (Almaden Minerals Ltd),素材,
AAWW,アトラス・エア・ワールドワイド・ホールディングス (Atlas Air Worldwide Holdings Inc),資本財,Nasdaq
AAXN,アクソン・エンタープライズ (Axon Enterprise Inc),資本財,Nasdaq
ABB,エイ・ビー・ビー (ABB Ltd),資本財,NYSE
ABBV,アッヴィ (AbbVie Inc.),ヘルスケア,S&P500
ABC,アメリソース・バーゲン (AmerisourceBergen Corp),ヘルスケア,S&P500
ABCB,アメリス・バンコープ (Ameris Bancorp),金融,Nasdaq
ABEO,アビオナ・セラピューティクス (Abeona Therapeutics Inc),ヘルスケア,Nasdaq
ABEV,アンベブ (Ambev S.A),生活必需品,NYSE
ABG,アズベリー・オートモーティブ・グループ (Asbury Automotive Group Inc),一般消費財,NYSE
ABM,エービーエム・インダストリーズ (ABM Industries Incorporated),資本財,NYSE
ABMD,アビオメド (ABIOMED Inc),ヘルスケア,Nasdaq S&P500
ABT,アボット・ラボラトリーズ (Abbott Laboratories),ヘルスケア,S&P500
ABTX,"アレジアンス・バンクシェアーズ (Allegiance Bancshares, Inc)",金融,Nasdaq
ACA,アルコサ (Arcosa Inc),資本財,NYSE
ACAD,アカディア・ファーマシューティカルズ (ACADIA Pharmaceuticals Inc),ヘルスケア,Nasdaq
ACAM,AcamarPartnersAcquisition (Acamar Partners Acquisition Corp),資本財,Nasdaq
ACB,オーロラ・カンナビス (Aurora Cannabis Inc),ヘルスケア,
ACBI,"アトランティック・キャピタル・バンクシェアーズ (Atlantic Capital Bancshares, Inc)",金融,Nasdaq
ACCO,エッコー・ブランズ (ACCO Brands Corporation),資本財,NYSE
ACEL,アクセル・エンターテインメント (TPG Pace Holdings Corp),一般消費財,NYSE
ACGL,アーチ・キャピタル・グループ (Arch Capital Group Ltd),金融,Nasdaq
ACHC,アカディア・ヘルスケア (Acadia Healthcare Company Inc),ヘルスケア,Nasdaq
ACHV,アーカイブ・ライフ・サイエンシズ (Achieve Life Sciences Inc),ヘルスケア,Nasdaq
ACIA,アカシア・コミュニケーションズ (Acacia Communications Inc),情報技術,Nasdaq
ACIW,エーシーアイ・ワールドワイド (ACI Worldwide Inc),情報技術,Nasdaq
ACLS,アクセリス・テクノロジーズ (Axcelis Technologies Inc),情報技術,Nasdaq
ACM,エーイーコム・テクノロジー (AECOM),資本財,NYSE
ACMR,"ACMResearchInc (ACM Research, Inc)",情報技術,Nasdaq
ACN,アクセンチュア (Accenture plc),情報技術,S&P500
ACNB,ＡＣＮＢコープ (ACNB Corporation),金融,Nasdaq
ACOR,アコルダ・セラピューティクス (Acorda Therapeutics Inc),ヘルスケア,Nasdaq
